시도,시군구,합계
서울특별시,종로구,"14,779"
서울특별시,중구,"15,112"
서울특별시,용산구,"15,446"
서울특별시,성동구,"24,815"
서울특별시,광진구,"30,305"
서울특별시,동대문구,"40,849"
서울특별시,중랑구,"57,167"
서울특별시,성북구,"50,352"
서울특별시,강북구,"53,054"
서울특별시,도봉구,"49,490"
서울특별시,노원구,"63,862"
서울특별시,은평구,"63,739"
서울특별시,서대문구,"35,662"
서울특별시,마포구,"30,084"
서울특별시,양천구,"45,733"
서울특별시,강서구,"66,144"
서울특별시,구로구,"49,996"
서울특별시,금천구,"30,973"
서울특별시,영등포구,"31,965"
서울특별시,동작구,"34,927"
서울특별시,관악구,"53,214"
서울특별시,서초구,"16,592"
서울특별시,강남구,"22,473"
서울특별시,송파구,"41,294"
서울특별시,강동구,"45,402"
